model,dataset,mse_loss
models/best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set.pth,datasets_v4/person_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.042306083
models/best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set.pth,datasets_v4/vehicle_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.042759891
models/best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set.pth,datasets_v4/outdoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.042747255
models/best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set.pth,datasets_v4/animal_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.04187485
models/best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set.pth,datasets_v4/accessory_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.046888583
models/best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set.pth,datasets_v4/sports_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.044832558
models/best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set.pth,datasets_v4/kitchen_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.034960894
models/best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set.pth,datasets_v4/food_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.038879401
models/best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set.pth,datasets_v4/furniture_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.037954367
models/best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set.pth,datasets_v4/electronic_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.031293505
models/best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set.pth,datasets_v4/appliance_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.033714023
models/best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set.pth,datasets_v4/indoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.035106089
models/best_regression_model_tanh_maskn_maskv_maskadj_maskadv_full_set.pth,datasets_v4/full_set_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.041637089
models/best_regression_model_tanh_norm_trained_on_accessory.pth,datasets_v4/accessory_val2017_regression.p,0.034874585
models/best_regression_model_tanh_norm_trained_on_accessory.pth,datasets_v4/animal_val2017_regression.p,0.040890688
models/best_regression_model_tanh_norm_trained_on_accessory.pth,datasets_v4/appliance_val2017_regression.p,0.025594671
models/best_regression_model_tanh_norm_trained_on_accessory.pth,datasets_v4/electronic_val2017_regression.p,0.02775796
models/best_regression_model_tanh_norm_trained_on_accessory.pth,datasets_v4/food_val2017_regression.p,0.039226239
models/best_regression_model_tanh_norm_trained_on_accessory.pth,datasets_v4/furniture_val2017_regression.p,0.031046518
models/best_regression_model_tanh_norm_trained_on_accessory.pth,datasets_v4/indoor_val2017_regression.p,0.037930742
models/best_regression_model_tanh_norm_trained_on_accessory.pth,datasets_v4/kitchen_val2017_regression.p,0.030879961
models/best_regression_model_tanh_norm_trained_on_accessory.pth,datasets_v4/outdoor_val2017_regression.p,0.037609964
models/best_regression_model_tanh_norm_trained_on_accessory.pth,datasets_v4/person_val2017_regression.p,0.036212329
models/best_regression_model_tanh_norm_trained_on_accessory.pth,datasets_v4/sports_val2017_regression.p,0.038598865
models/best_regression_model_tanh_norm_trained_on_accessory.pth,datasets_v4/vehicle_val2017_regression.p,0.03577935
